url,lang,section,title,description,h1,structured_data,hreflang_ct,link_ct,cta_subject
/about/,en,about,About North FW Living — An Independent Corridor Field Guide,"What North FW Living is, how the data is compiled, and what's coming. An independent publisher covering the North Fort W","An independent field guide, built on public data.",BreadcrumbList|ListItem|Organization,3,33,NFW-ABOUT
/builder-ledger/,en,builder-ledger,Alliance Builder Ledger — August 2026 Edition | North FW Living,"The Alliance Builder Ledger, August 2026: flex cash ranges, advertised buydown rates, closing-cost credits, and the pref",Alliance Builder Ledger,Article|BreadcrumbList|ListItem|Organization,3,33,NFW-BUILDER-LEDGER
/buy/alliance/,en,buy,Buying in The Alliance–Presidio spine — The Pocket Playbook | North FW Living,"Buying in The Alliance–Presidio spine: which market regime you're in, the pocket-specific diligence, and how the corrido",Buying in The Alliance–Presidio spine: the pocket playbook.,BreadcrumbList|ListItem|Organization,3,37,NFW-BUY-ALLIANCE
/buy/build-process/,en,buy,Contract to Keys — What Actually Happens During a Corridor Build,"The new-construction timeline demystified: deposit, design center, the long middle, walkthroughs, and the rate-lock ques",Between contract and keys: the actual sequence.,BreadcrumbList|ListItem|Organization,3,35,NFW-BUILD-PROCESS
/buy/builder-warranty/,en,buy,Builder Warranties — The 1-2-10 Structure and the Eleventh Month,"What corridor builder warranties typically cover, the standard 1-2-10 shape, how to file claims that get honored, and th",The warranty is real. It's also on a clock.,BreadcrumbList|ListItem|Organization,3,33,NFW-WARRANTY
/buy/closing-costs/,en,buy,Closing Costs on the Corridor — The Second Number,"Beyond the down payment: what closing actually costs in Texas, line by line — lender fees, title, escrow prefunds — and ",The down payment has a quieter sibling. Budget for both.,BreadcrumbList|ListItem|Organization,3,35,NFW-CLOSING-COSTS
/buy/down-payment/,en,buy,"Down Payments, Honestly — What Corridor Buyers Actually Put Down","Twenty percent is a myth with good PR. The real down-payment landscape: conventional minimums, FHA, VA, the PMI trade, a","Twenty percent is a preference, not a rule.",BreadcrumbList|ListItem|Organization,3,34,NFW-DOWN-PAYMENT
/buy/first-time/,en,buy,First-Time Buyer's Guide to the Alliance Corridor,"Buying your first home near Alliance, Keller, or Northlake: the sequence, the corridor-specific traps, and how builder i","Your first purchase, in the right order.",Article|BreadcrumbList|ListItem|Organization,3,37,NFW-FIRST-TIME
/buy/haslet/,en,buy,Buying in Haslet — The Pocket Playbook | North FW Living,"Buying in Haslet: which market regime you're in, the pocket-specific diligence, and how the corridor's builder incentive",Buying in Haslet: the pocket playbook.,BreadcrumbList|ListItem|Organization,3,37,NFW-BUY-HASLET
/buy/hoa-guide/,en,buy,HOAs on the Corridor — Reading the Documents Before They Read You,"Most corridor new communities carry HOAs. What the dues buy, what the rules bind, the documents to demand during your op",You're not just buying the house. You're joining the association.,BreadcrumbList|ListItem|Organization,3,34,NFW-HOA
/buy/,en,buy,Buying on the Alliance Corridor — The Field Guide,"Buying in Keller, Roanoke, Northlake, Justin, Haslet or north Fort Worth: how the corridor's builder-heavy market works,",Half this market is brand new. Buy like you know that.,BreadcrumbList|ListItem|Organization,3,39,NFW-BUY
/buy/justin/,en,buy,Buying in Justin — The Pocket Playbook | North FW Living,"Buying in Justin: which market regime you're in, the pocket-specific diligence, and how the corridor's builder incentive",Buying in Justin: the pocket playbook.,BreadcrumbList|ListItem|Organization,3,37,NFW-BUY-JUSTIN
/buy/keller/,en,buy,Buying in Keller — The Pocket Playbook | North FW Living,"Buying in Keller: which market regime you're in, the pocket-specific diligence, and how the corridor's builder incentive",Buying in Keller: the pocket playbook.,BreadcrumbList|ListItem|Organization,3,37,NFW-BUY-KELLER
/buy/mud-pid-explained/,en,buy,"MUD and PID Taxes, Explained — The Corridor's Hidden Payment Line",Municipal Utility Districts and Public Improvement Districts fund new-community infrastructure and raise your effective ,The prettiest line on the brochure isn't on the brochure at all.,BreadcrumbList|ListItem|Organization,3,34,NFW-MUD-PID
/buy/new-build-inspections/,en,buy,"Inspecting New Construction — Yes, Really, and Three Times","New homes get inspected too: pre-pour, pre-drywall, and pre-closing. What phase inspections catch, what they cost, and w",New doesn't mean inspected. Hire your own eyes — three times.,BreadcrumbList|ListItem|Organization,3,34,NFW-NEW-INSPECT
/buy/new-construction-vs-resale/,en,buy,New Construction vs. Resale on the Alliance Corridor — The All-In Math,"A 4.99% builder sign vs. a 6.3% resale rate isn't the whole comparison. Upgrade budgets, lot premiums, MUD/PID taxes, ma",The model home has a lower rate. The resale has a finished yard. Now do the real,Answer|BreadcrumbList|FAQPage|ListItem|Organization|Question,3,34,NFW-NEW-VS-RESALE
/buy/northlake/,en,buy,Buying in Northlake — The Pocket Playbook | North FW Living,"Buying in Northlake: which market regime you're in, the pocket-specific diligence, and how the corridor's builder incent",Buying in Northlake: the pocket playbook.,BreadcrumbList|ListItem|Organization,3,37,NFW-BUY-NORTHLAKE
/buy/property-taxes/,en,buy,"Texas Property Taxes for Corridor Buyers — The System, Decoded","No state income tax, real property tax: how the Texas system works for corridor buyers — appraisals, rates, exemptions, ","In Texas, the tax line is a third of the conversation. Learn its grammar.",BreadcrumbList|ListItem|Organization,3,35,NFW-PROP-TAXES
/buy/roanoke/,en,buy,Buying in Roanoke — The Pocket Playbook | North FW Living,"Buying in Roanoke: which market regime you're in, the pocket-specific diligence, and how the corridor's builder incentiv",Buying in Roanoke: the pocket playbook.,BreadcrumbList|ListItem|Organization,3,37,NFW-BUY-ROANOKE
/buy/va-loans/,en,buy,VA Loans on the Alliance Corridor — The Veteran Buyer's Guide,"Using VA loan benefits to buy on the corridor: zero-down mechanics, the funding fee, no PMI, VA appraisals on new constr","The VA benefit, applied to this corridor.",BreadcrumbList|ListItem|Organization,3,37,NFW-VA-LOANS
/community/airshow/,en,community,The Alliance Air Show — The Corridor's Signature Weekend,"The Fort Worth Alliance Air Show at Perot Field: what it is, why it belongs on the corridor's identity, and the local lo","Once a year, the jobs engine looks up.",BreadcrumbList|ListItem|Organization,3,35,NFW-AIRSHOW
/community/argyle-isd-life/,en,community,Community Life in Argyle ISD Territory — The One-Town Rhythm,"Community life in Argyle ISD's compact territory: the single-feeder identity where the whole town wears the same colors,","Argyle ISD territory: one town, one feeder, one set of colors.",BreadcrumbList|ListItem|Organization,3,37,NFW-COMM-ARGISD
