page,before,after
colonnade-at-turtle-creek.html,"Colonnade at Turtle Creek condo building file: Turtle Creek, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Colonnade at Turtle Creek (Turtle Creek, Dallas): built 1982, 47 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
neil-p-at-burnett-park.html,"Neil P at Burnett Park condo building file: Downtown FW, Fort Worth. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Neil P at Burnett Park (Downtown FW, Fort Worth): built 1921, 88 units on file. Dues, policies, and transfer tempo — the independent building file."
bleu-ciel.html,"Bleu Ciel condo building file: Harwood, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Bleu Ciel (Harwood, Dallas): built 2017, 133 residential accounts on the 2026 roll, median 1,766 sf. Dues, policies, and transfer tempo — the independent building file."
the-belvedere.html,"The Belvedere condo building file: Uptown / Arts District edge, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","The Belvedere (Uptown / Arts District edge, Dallas): built 1999, 102 units on file. Dues, policies, and transfer tempo — the independent building file."
twenty-one-turtle-creek.html,"Twenty-One Turtle Creek condo building file: Turtle Creek, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Twenty-One Turtle Creek (Turtle Creek, Dallas): built 1963, 310 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
one-arts-plaza.html,"One Arts Plaza condo building file: Arts District, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","One Arts Plaza (Arts District, Dallas): built 2007, 61 units on file. Dues, policies, and transfer tempo — the independent building file."
the-wyndemere-at-turtle-creek.html,"The Wyndemere at Turtle Creek condo building file: Turtle Creek, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","The Wyndemere at Turtle Creek (Turtle Creek, Dallas): 101 residential accounts on the 2026 roll, median 937 sf. Dues, policies, and transfer tempo — the independent building file."
the-claridge.html,"The Claridge condo building file: Turtle Creek, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","The Claridge (Turtle Creek, Dallas): built 1983–84, 82 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
piazza-siena.html,"Piazza Siena condo building file: Oak Lawn, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Piazza Siena (Oak Lawn, Dallas): built 2001, 227 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
the-renaissance-on-turtle-creek.html,"The Renaissance on Turtle Creek condo building file: Turtle Creek, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","The Renaissance on Turtle Creek (Turtle Creek, Dallas): built 1998, 482 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
1505-elm.html,"1505 Elm condo building file: Downtown, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","1505 Elm (Downtown, Dallas): built 2002, 67 residential accounts on the 2026 roll, median 1,482 sf. Dues, policies, and transfer tempo — the independent building file."
the-grand-at-turtle-creek.html,"The Grand at Turtle Creek condo building file: Turtle Creek, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","The Grand at Turtle Creek (Turtle Creek, Dallas): built 2001, 22 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
le-bijou.html,"Le Bijou condo building file: Downtown FW, Fort Worth. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Le Bijou (Downtown FW, Fort Worth): built 2006, 14 units on file. Dues, policies, and transfer tempo — the independent building file."
residences-at-the-ritz-carlton-i.html,"Residences at The Ritz-Carlton I condo building file: Uptown, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Residences at The Ritz-Carlton I (Uptown, Dallas): built 2007, 66 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
hall-arts-residences.html,"Hall Arts Residences condo building file: Arts District, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Hall Arts Residences (Arts District, Dallas): built 2020, 48 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
gold-crest.html,"Gold Crest condo building file: Turtle Creek, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Gold Crest (Turtle Creek, Dallas): built 1962–64, 49 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
soco-urban-lofts.html,"SoCo Urban Lofts condo building file: Downtown, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","SoCo Urban Lofts (Downtown, Dallas): built 2004, 164 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
royale-orleans.html,"Royale Orleans condo building file: TCU / Tanglewood, Fort Worth. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Royale Orleans (TCU / Tanglewood, Fort Worth): . Dues, policies, and transfer tempo — the independent building file."
the-bonaventure.html,"The Bonaventure condo building file: North Dallas, Beyond the core. HOA dues, floor plans, policies, taxes, documents and sales tracking.","The Bonaventure (North Dallas, DFW): built 1981, 285 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
one-museum-place-residences.html,"One Museum Place Residences condo building file: Cultural District, Fort Worth. HOA dues, floor plans, policies, taxes, documents and sales tracking.","One Museum Place Residences (Cultural District, Fort Worth): built 2008, 36 units on file. Dues, policies, and transfer tempo — the independent building file."
woodshire-court.html,"Woodshire Court condo building file: Uptown · Knox, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Woodshire Court (Uptown · Knox, Dallas): built 1985, 29 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
959-west-bluff.html,"959 West Bluff condo building file: Downtown FW area, Fort Worth. HOA dues, floor plans, policies, taxes, documents and sales tracking.","959 West Bluff (Downtown FW area, Fort Worth): . Dues, policies, and transfer tempo — the independent building file."
rosewood-residences-turtle-creek.html,"Rosewood Residences Turtle Creek condo building file: Turtle Creek, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Rosewood Residences Turtle Creek (Turtle Creek, Dallas): built 2026, 33 units on file. Dues, policies, and transfer tempo — the independent building file."
the-residences-at-the-stoneleigh.html,"The Residences at the Stoneleigh condo building file: Uptown, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","The Residences at the Stoneleigh (Uptown, Dallas): built 2009, 64 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
the-tower-residences-ritz-carlton.html,"The Tower Residences (Ritz-Carlton) condo building file: Uptown, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","The Tower Residences (Ritz-Carlton) (Uptown, Dallas): built 2007–09, 92 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
metropolitan-club-at-hotel-zaza.html,"Metropolitan Club at Hotel ZaZa condo building file: Uptown, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Metropolitan Club at Hotel ZaZa (Uptown, Dallas): built 2000s. Dues, policies, and transfer tempo — the independent building file."
live-oak-lofts.html,"Live Oak Lofts condo building file: Deep Ellum edge · Old East Dallas, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Live Oak Lofts (Deep Ellum edge · Old East Dallas, Dallas): built 1998, 92 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
the-tower.html,"The Tower condo building file: Downtown FW, Fort Worth. HOA dues, floor plans, policies, taxes, documents and sales tracking.","The Tower (Downtown FW, Fort Worth): built 2005, 300 units on file. Dues, policies, and transfer tempo — the independent building file."
dickson-jenkins-lofts.html,"Dickson Jenkins Lofts condo building file: Downtown FW, Fort Worth. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Dickson Jenkins Lofts (Downtown FW, Fort Worth): . Dues, policies, and transfer tempo — the independent building file."
versailles.html,"Versailles condo building file: Downtown FW area, Fort Worth. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Versailles (Downtown FW area, Fort Worth): . Dues, policies, and transfer tempo — the independent building file."
omni-fort-worth-residences.html,"Omni Fort Worth Residences condo building file: Downtown FW, Fort Worth. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Omni Fort Worth Residences (Downtown FW, Fort Worth): built 2009, 97 units on file. Dues, policies, and transfer tempo — the independent building file."
turtle-creek-north.html,"Turtle Creek North condo building file: Turtle Creek, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Turtle Creek North (Turtle Creek, Dallas): built 1962, 98 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
bryan-street-station.html,"Bryan Street Station condo building file: Bryan Place, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Bryan Street Station (Bryan Place, Dallas): built 2006, 47 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
2220-canton-lofts.html,"2220 Canton Lofts condo building file: Farmers Market / Deep Ellum, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","2220 Canton Lofts (Farmers Market / Deep Ellum, Dallas): built 1925, 39 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
m-central-residences-the-highland.html,"M Central Residences (The Highland) condo building file: Mockingbird / SMU, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","M Central Residences (The Highland) (Mockingbird / SMU, Dallas): built 2000s, 55 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
texas-pacific-lofts.html,"Texas & Pacific Lofts condo building file: Lancaster Corridor, Fort Worth. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Texas & Pacific Lofts (Lancaster Corridor, Fort Worth): built 2005, 149 units on file. Dues, policies, and transfer tempo — the independent building file."
3525-turtle-creek.html,"3525 Turtle Creek condo building file: Turtle Creek, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","3525 Turtle Creek (Turtle Creek, Dallas): built 1957, 78 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
mansion-residences.html,"Mansion Residences condo building file: Turtle Creek, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Mansion Residences (Turtle Creek, Dallas): built 1992–94, 24 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
lake-cliff-tower.html,"Lake Cliff Tower condo building file: Oak Cliff, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Lake Cliff Tower (Oak Cliff, Dallas): built 2006, 49 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
the-house.html,"The House condo building file: Victory Park, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","The House (Victory Park, Dallas): built 2010, 117 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
the-residence-at-turtle-creek.html,"The Residence at Turtle Creek condo building file: Turtle Creek, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","The Residence at Turtle Creek (Turtle Creek, Dallas): built 2011, 6 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
schaumburg-lofts.html,"Schaumburg Lofts condo building file: Downtown FW, Fort Worth. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Schaumburg Lofts (Downtown FW, Fort Worth): . Dues, policies, and transfer tempo — the independent building file."
the-lakeside-tower.html,"The Lakeside Tower condo building file: Lakeside DFW · Flower Mound, Beyond the core. HOA dues, floor plans, policies, taxes, documents and sales tracking.","The Lakeside Tower (Lakeside DFW · Flower Mound, DFW): . Dues, policies, and transfer tempo — the independent building file."
park-highlander.html,"Park Highlander condo building file: Oak Lawn, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Park Highlander (Oak Lawn, Dallas): built 2004, 44 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
the-travis-at-katy-trail.html,"The Travis at Katy Trail condo building file: Knox / Katy Trail, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","The Travis at Katy Trail (Knox / Katy Trail, Dallas): built 2000, 52 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
the-athena.html,"The Athena condo building file: Preston Ctr & NW Hwy, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","The Athena (Preston Ctr & NW Hwy, Dallas): built 1966, 120 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
avanti-on-avondale.html,"Avanti on Avondale condo building file: Oak Lawn, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Avanti on Avondale (Oak Lawn, Dallas): built 2004, 14 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
crestpark-in-highland-park.html,"Crestpark in Highland Park condo building file: Highland Park area, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Crestpark in Highland Park (Highland Park area, Dallas): built 1950, 126 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
thirty-thirty-bryan-condos.html,"Thirty Thirty Bryan Condos condo building file: Bryan Place, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Thirty Thirty Bryan Condos (Bryan Place, Dallas): built 2005, 30 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
1999-mckinney.html,"1999 McKinney condo building file: Uptown, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","1999 McKinney (Uptown, Dallas): built 2000, 57 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
