community,area,product,address,bedrooms,advertised_from_usd,advertised_weeks_free,assumed_lease_months,net_effective_monthly_usd,year_one_concession_usd,special_note,verified
Olympus Willow Park,Willow Park,Apartments,"180 Crown Pointe Blvd, Willow Park",1,1264,8,12,1070,2327,Listings simultaneously advertise 2–8 weeks free — offer varies by unit and source; get YOUR quote in writing,2026-07-31
Olympus Willow Park,Willow Park,Apartments,"180 Crown Pointe Blvd, Willow Park",2,1330,8,12,1126,2449,Listings simultaneously advertise 2–8 weeks free — offer varies by unit and source; get YOUR quote in writing,2026-07-31
Olympus Willow Park,Willow Park,Apartments,"180 Crown Pointe Blvd, Willow Park",3,1843,8,12,1560,3393,Listings simultaneously advertise 2–8 weeks free — offer varies by unit and source; get YOUR quote in writing,2026-07-31
Gates at Meadow Place,Willow Park,Apartments,"451 Meadow Place Dr, Willow Park",1,1331,7,12,1152,2144,Advertised at 4–7 weeks free depending on listing source — confirm the live offer,2026-07-31
Gates at Meadow Place,Willow Park,Apartments,"451 Meadow Place Dr, Willow Park",2,1544,7,12,1337,2487,Advertised at 4–7 weeks free depending on listing source — confirm the live offer,2026-07-31
Gates at Meadow Place,Willow Park,Apartments,"451 Meadow Place Dr, Willow Park",3,2005,7,12,1736,3230,Advertised at 4–7 weeks free depending on listing source — confirm the live offer,2026-07-31
Canvas at Willow Park,Willow Park,Build-to-rent houses,"300 Meadow Place Dr, Willow Park",2,2299,6,14,2072,3175,Now advertising 6 weeks free (down from 8 in July) — promo rates appear tied to longer leases; verify,2026-07-31
Canvas at Willow Park,Willow Park,Build-to-rent houses,"300 Meadow Place Dr, Willow Park",3,2321,6,14,2092,3205,Now advertising 6 weeks free (down from 8 in July) — promo rates appear tied to longer leases; verify,2026-07-31
Canvas at Willow Park,Willow Park,Build-to-rent houses,"300 Meadow Place Dr, Willow Park",4,2799,6,14,2523,3865,Now advertising 6 weeks free (down from 8 in July) — promo rates appear tied to longer leases; verify,2026-07-31
Willow Crossing Townhomes,Willow Park / Aledo,Gated townhomes,"Willow Crossing E, Willow Park",3,2222,4,12,2052,2046,Now advertising 4 weeks free (down from 8 in July) — supply-limited offers shrink as units fill; confirm yours,2026-07-31
Willow Crossing Townhomes,Willow Park / Aledo,Gated townhomes,"Willow Crossing E, Willow Park",4,2302,4,12,2125,2119,Now advertising 4 weeks free (down from 8 in July) — supply-limited offers shrink as units fill; confirm yours,2026-07-31
Olympus Hudson Oaks,Hudson Oaks,Apartments,"900 Cinema Dr, Hudson Oaks",1,1162,8,12,984,2139,8 weeks free advertised — active lease-up; sibling community to Olympus Willow Park,2026-07-31
Olympus Hudson Oaks,Hudson Oaks,Apartments,"900 Cinema Dr, Hudson Oaks",2,1423,8,12,1205,2620,8 weeks free advertised — active lease-up; sibling community to Olympus Willow Park,2026-07-31
Olympus Hudson Oaks,Hudson Oaks,Apartments,"900 Cinema Dr, Hudson Oaks",3,1827,8,12,1547,3364,8 weeks free advertised — active lease-up; sibling community to Olympus Willow Park,2026-07-31
Birchway Hudson Oaks,Hudson Oaks,Apartments,"150 Inspiration Dr, Hudson Oaks",1,1165,8,12,986,2145,"8 weeks free advertised; listed 1BR pricing ranges $1,165–$1,458 across sources — a fine-print flag: confirm the rate the special attaches to",2026-07-31
Birchway Hudson Oaks,Hudson Oaks,Apartments,"150 Inspiration Dr, Hudson Oaks",2,1497,8,12,1267,2756,"8 weeks free advertised; listed 1BR pricing ranges $1,165–$1,458 across sources — a fine-print flag: confirm the rate the special attaches to",2026-07-31
Oxford at Weatherford,Weatherford,Apartments,"209 W Interstate 20, Weatherford",1,1115,8.7,12,929,2233,“2 months free” advertised — the deepest headline concession we track; confirm lease-length requirements and which months the free rent lands in,2026-07-31
College Park,Weatherford,Apartments,"202 College Park Dr, Weatherford",1,900,0,12,900,0,No weeks-free special advertised — competes on base rent instead; the lowest advertised 1BR we track,2026-07-31
College Park,Weatherford,Apartments,"202 College Park Dr, Weatherford",2,1200,0,12,1200,0,No weeks-free special advertised — competes on base rent instead; the lowest advertised 1BR we track,2026-07-31
Preserve at Willow Park (55+),Willow Park,Active 55+ apartments,"149 Mary Lou Dr, Willow Park",1,1444,6,12,1278,1994,6 weeks free advertised — age-qualified community (55+); the only senior-living option we track in the pocket,2026-07-31
Preserve at Willow Park (55+),Willow Park,Active 55+ apartments,"149 Mary Lou Dr, Willow Park",2,2248,6,12,1989,3104,6 weeks free advertised — age-qualified community (55+); the only senior-living option we track in the pocket,2026-07-31
Westpoint at Scenic Vista,West Fort Worth (76108),Apartments,"1200 Scenic Vista Dr, Fort Worth",1,1191,6,12,1054,1645,"6 weeks free advertised — 1,017 sq ft one-bedrooms are unusually large for the price; minutes from Lockheed and NAS JRB",2026-07-31
Westpoint at Scenic Vista,West Fort Worth (76108),Apartments,"1200 Scenic Vista Dr, Fort Worth",2,1512,6,12,1338,2088,"6 weeks free advertised — 1,017 sq ft one-bedrooms are unusually large for the price; minutes from Lockheed and NAS JRB",2026-07-31
Chapel Creek Cottages,West Fort Worth,"Cottage rentals, gated","Chapel Creek area, west Fort Worth",2,2025,0,12,2025,0,No weeks-free special advertised — gated cottage-style community; the west-FW alternative to the Willow Park build-to-rent products,2026-07-31
Chapel Creek Cottages,West Fort Worth,"Cottage rentals, gated","Chapel Creek area, west Fort Worth",3,2285,0,12,2285,0,No weeks-free special advertised — gated cottage-style community; the west-FW alternative to the Willow Park build-to-rent products,2026-07-31
